Time	SensorID	Value	TaskID	ResidentID
0.5914639145370371	122	1	2	2
0.5912162791666666	119	1	1	1
0.5913521821296297	123	1	2	2
0.5912171923148148	118	1	1	1
0.5913746645370371	101	1	2	2
0.5912084905555556	117	1	1	1
0.5912201210185185	307	3	1	1
0.591219502962963	119	0	1	1
0.5912263418518519	123	0	2	2
0.5912356901851852	121	0	2	2
0.5912315395370371	122	0	2	2
0.5914060062037038	101	0	2	2
0.591478928425926	103	1	2	2
0.5912301772222222	118	0	1	1
0.591345339537037	117	0	1	1
0.5912512428703705	103	0	2	2
0.5912521125000001	103	1	2	2
0.591390864537037	204	6	1	1
0.5912640991666667	101	1	2	2
0.5914624525000001	123	1	2	2
0.5912728460185186	103	0	2	2
0.5912933626851853	312	3	2	2
0.5912950708333333	206	6	1	1
0.5913025960185185	101	0	2	2
0.5912885070370371	123	0	2	2
0.5913932210185185	117	1	1	1
0.5913231325000001	117	0	1	1
0.5915805358333334	312	3	2	2
0.5915453136111112	126	1	2	2
0.5913569850925926	312	3	2	2
0.5914344365740741	117	1	1	1
0.5914435346296297	117	0	1	1
0.5916875849074075	123	1	2	2
0.5917246312037038	101	1	2	2
0.5916209182407408	101	0	2	2
0.5916948960185187	123	0	2	2
0.5914880906481482	103	1	2	2
0.5915792904629631	103	0	2	2
0.5917675237962964	103	1	2	2
0.5915164337037038	103	0	2	2
0.5916762108333334	104	1	2	2
0.5915445328703705	104	0	2	2
0.5916529080555557	312	4	2	2
0.5915469105555556	104	1	2	2
0.5915334449074076	312	3	2	2
0.5916762117592593	104	0	2	2
0.5915419886111112	117	1	1	1
0.591576465462963	104	1	2	2
0.5915602717592593	117	0	1	1
0.591767090462963	104	0	2	2
0.5916533987962964	103	1	2	2
0.5915861386111112	102	1	2	2
0.5916037241666668	101	1	2	2
0.591731240462963	123	1	2	2
0.5916094076851852	102	0	2	2
0.5918591821296296	103	0	2	2
0.5916110428703705	312	3	2	2
0.5916131515740741	101	0	2	2
0.5916220815740741	123	0	2	2
0.591816345	117	1	1	1
0.5918104862962964	117	0	1	1
0.5919674736111111	117	1	1	1
0.5920267367592593	117	0	1	1
